UTC Time, Parameter, Value
2024-03-05 05:35:15, SNR, 15091.494405868356
2024-03-05 05:35:25, SNR, 15458.398609981308
2024-03-05 05:35:35, SNR, 15451.011950311156
2024-03-05 05:35:45, SNR, 9381.263161336394
2024-03-05 05:36:35, SNR, 10471.808809430084
2024-03-05 05:36:45, SNR, 8221.088604521005
2024-03-05 05:37:25, SNR, 7676.415235869673
2024-03-05 05:37:35, SNR, 8044.271244566853
2024-03-05 05:37:45, SNR, 14275.468051407144
2024-03-05 05:39:15, SNR, 8195.93512000661
2024-03-05 05:39:25, SNR, 10834.962687803669
2024-03-05 05:39:35, SNR, 8286.45926370803
2024-03-05 05:39:45, SNR, 13690.956948244937
2024-03-05 05:39:55, SNR, 6961.3771265189125
2024-03-05 05:40:05, SNR, 6495.9964334959395
2024-03-05 05:40:25, SNR, 9753.779913334958
2024-03-05 05:40:35, SNR, 11502.65773578458
2024-03-05 05:40:55, SNR, 7150.1370273008415
2024-03-05 05:41:15, SNR, 14374.144657017396
2024-03-05 05:41:25, SNR, 13895.771285968447
2024-03-05 05:41:45, SNR, 12417.213066214394
2024-03-05 05:43:15, SNR, 12868.411133538333
2024-03-05 05:43:25, SNR, 10489.922516731027
2024-03-05 05:43:35, SNR, 11887.568321752886
2024-03-05 05:43:45, SNR, 8080.230876520191
2024-03-05 05:43:55, SNR, 12278.721176685945
2024-03-05 05:44:15, SNR, 6877.51031122251
2024-03-05 05:44:25, SNR, 13963.511693470213
2024-03-05 05:44:35, SNR, 9281.560590149491
2024-03-05 05:44:45, SNR, 8135.067238812497
2024-03-05 05:46:15, SNR, 10744.562035216928
2024-03-05 05:46:35, SNR, 13503.862085692745
2024-03-05 05:47:15, SNR, 10322.219609735783
2024-03-05 05:47:25, SNR, 15335.048625564597
2024-03-05 05:47:55, SNR, 15730.399582416489
2024-03-05 05:48:15, SNR, 15867.676175878216
2024-03-05 05:48:25, SNR, 15630.249412205903
2024-03-05 05:48:35, SNR, 8808.477755037753
2024-03-05 05:48:45, SNR, 11250.027422276758
2024-03-05 05:50:15, SNR, 6115.918369994874
2024-03-05 05:50:25, SNR, 6591.226991267573
2024-03-05 05:50:35, SNR, 6460.52431041046
2024-03-05 05:50:45, SNR, 10838.347820434035
2024-03-05 05:50:55, SNR, 7508.638830852076
2024-03-05 05:51:05, SNR, 8791.953507483771
2024-03-05 05:51:15, SNR, 10949.659992701198
2024-03-05 05:51:25, SNR, 6947.628620503596
2024-03-05 05:51:45, SNR, 6654.413793792189
2024-03-05 05:53:25, SNR, 14268.915402136357
2024-03-05 05:53:35, SNR, 8281.766457567093
2024-03-05 05:53:45, SNR, 14664.713493462059
2024-03-05 05:53:55, SNR, 11078.052401823068
2024-03-05 05:54:05, SNR, 9447.844598942916
2024-03-05 05:54:15, SNR, 13444.298743253115
2024-03-05 05:54:55, SNR, 9438.14055132727
2024-03-05 05:55:05, SNR, 6225.358215022744
2024-03-05 05:55:15, SNR, 11478.993498905676
2024-03-05 05:55:45, SNR, 14334.376287881265
2024-03-05 05:57:15, SNR, 8518.1670772792
2024-03-05 05:57:25, SNR, 14157.199838417939
2024-03-05 05:57:45, SNR, 9514.763898280953
2024-03-05 05:58:05, SNR, 7965.496878450896
2024-03-05 05:58:15, SNR, 7232.557598869296
2024-03-05 05:58:25, SNR, 6633.188171889355
2024-03-05 05:58:35, SNR, 6455.820480909039
2024-03-05 05:58:45, SNR, 6194.007329629257
2024-03-05 06:00:25, SNR, 7287.412803162688
2024-03-05 06:00:35, SNR, 6565.517514086233
2024-03-05 06:00:45, SNR, 10135.80526206897
2024-03-05 06:00:55, SNR, 11596.954755684952
2024-03-05 06:01:15, SNR, 10728.483540233536
2024-03-05 06:01:25, SNR, 8309.320606070909
2024-03-05 06:01:35, SNR, 10156.951533468215
2024-03-05 06:01:45, SNR, 7968.894934005476
2024-03-05 06:01:55, SNR, 8724.34192163224
2024-03-05 06:02:35, SNR, 10233.371568356999
2024-03-05 06:02:45, SNR, 11889.487410376938
2024-03-05 06:04:15, SNR, 7516.6406826682105
2024-03-05 06:04:45, SNR, 7070.045540821773
2024-03-05 06:05:15, SNR, 11579.754328026806
2024-03-05 06:05:25, SNR, 11959.814410279827
2024-03-05 06:05:35, SNR, 12931.551087533151
2024-03-05 06:05:45, SNR, 13256.34087097245
2024-03-05 06:07:25, SNR, 9188.971047911946
2024-03-05 06:07:55, SNR, 11365.906725281584
2024-03-05 06:08:05, SNR, 9798.784532356362
2024-03-05 06:08:25, SNR, 14219.46459012355
2024-03-05 06:08:35, SNR, 6563.254257371429
2024-03-05 06:08:45, SNR, 8591.125459870325
2024-03-05 06:09:05, SNR, 11000.107863322155
2024-03-05 06:09:15, SNR, 12077.231661302087
2024-03-05 06:09:25, SNR, 16584.247067725784
2024-03-05 06:09:35, SNR, 8410.765166364125
2024-03-05 06:09:45, SNR, 9218.699210818313
2024-03-05 06:11:15, SNR, 9078.124817277394
2024-03-05 06:11:25, SNR, 8378.318977133984
2024-03-05 06:11:55, SNR, 7783.511370012011
2024-03-05 06:12:05, SNR, 9131.348614337683
2024-03-05 06:12:15, SNR, 10134.59836409891
2024-03-05 06:12:25, SNR, 10318.767001331797
2024-03-05 06:12:35, SNR, 12783.673352257087
2024-03-05 06:12:45, SNR, 10164.86487571211
2024-03-05 06:14:35, SNR, 8654.367692501719
2024-03-05 06:14:45, SNR, 10460.638382489518
2024-03-05 06:14:55, SNR, 8170.446416438664
2024-03-05 06:15:15, SNR, 9252.96078857542
2024-03-05 06:15:25, SNR, 8353.753396382917
2024-03-05 06:15:35, SNR, 6755.121207073655
2024-03-05 06:15:55, SNR, 10588.933198149274
2024-03-05 06:16:15, SNR, 10950.734212780333
2024-03-05 06:16:35, SNR, 6681.27460251233
2024-03-05 06:16:45, SNR, 10145.618540223533
2024-03-05 06:18:15, SNR, 10289.375991626157
2024-03-05 06:18:35, SNR, 12127.583696707297
2024-03-05 06:18:45, SNR, 9417.574521991717
2024-03-05 06:18:55, SNR, 11504.574627617667
2024-03-05 06:19:15, SNR, 11752.268071847733
